Full Name,Abbreviation
Tử Vi,Tử
Thiên Cơ,Cơ
Thái Dương,Nhật
Vũ Khúc,Vũ
Thiên Đồng,Đồng
Tả Phù,Tả
Văn Khúc,Khúc
Liêm Trinh,Liêm
Thái Âm,Nguyệt
Tham Lang,Tham
Cự Môn,Cự
Thiên Lương,Lương
Hữu Bật,Bật
Văn Xương,Xương
Đào Hoa,Đào
Hồng Loan,Hồng
Thiên Hỷ,Hỷ
Thiên Khôi,Khôi
Thiên Việt,Việt
Phượng Các,Phượng
Giải Thần,Giải
Tam Thai,Thai
Bát Toạ,Toạ
Ân Quang,Quang
Thiên Quý,Quý
Thai Phụ,Phụ
Phong Cáo,Cáo
Thiên Quan,Quan
Thiên Phúc,Phúc
Quốc Ấn,Ấn
Thái Tuế,T.Tuế
Thiếu Dương,Dương
Tang Môn,Tang
Thiếu Âm,Âm
Long Đức,L.Đức
Bạch Hổ,Hổ
Điếu Khách,Điếu
Tràng Sinh,Sinh
Mộc Dục,Dục
Quan Đới,Đới
Lâm Quan,Lâm
Đế Vượng,Vượng
Tiểu Hao,T.Hao
Tấu Thư,Tấu
Phi Liêm,Phi
Đại Hao,Đ.Hao
Phục Binh,Binh
Kình Dương,Kình
Đà La,Đà
Thiên Đức,T.Đức
Nguyệt Đức,N.Đức
Cô Thần,Cô
Quả Tú,Quả
Thiên Giải,T.Giải
Địa Giải,Đ.Giải
Thiên Trù,Trù
Địa Không,Đ.Không
Địa Kiếp,Kiếp
Hỏa Tinh,Hỏa
Linh Tinh,Linh
Thiên Hình,Hình
Lưu Hà,Hà
Thiên Mã,Mã
Hoa Cái,Cái
Hóa Lộc,Lộc
Hóa Quyền,Quyền
Hóa Khoa,Khoa
Hóa Kỵ,Kỵ
Thiên Diêu,Diêu
Thiên Y,Y
Thiên Khốc,Khốc
Thiên Hư,Hư
Thiên Thương,Thương
Thiên Sứ,Sứ
Thiên La,La
Địa Võng,Võng
Thanh Long,Long
Đường Phù,Phù
Hữu Bật,Hữu
Thiên Riêu,Riêu
Lộc Tồn,Lưu Lộc Tồn
Lộc Tồn,L.Lộc Tồn
Hỷ Thần,Hỷ
Trực Phù,Trực
Thiên Không,Thiên Không
"Mệnh có Địa Không, Thân có Địa Kiếp",Mệnh Không Thân Kiếp
"Mệnh có Địa Kiếp, Thân có Địa Không",Mệnh Kiếp Thân Không
Địa Không,Không
Thiên Phủ,Phủ
